game_id,league,away_team_id,home_team_id,away_team_box_score,home_team_box_score,stadium,location,tv_coverage,betting_line,betting_over_under,stadium_capacity,attendance,away_win_pct,home_win_pct,away_quarter1,away_quarter2,away_quarter3,away_quarter4,away_overtime,away_total,home_quarter1,home_quarter2,home_quarter3,home_quarter4,home_overtime,home_total,game_time,game_date
401570582,MLB,cle,lad,,,Dodger Stadium,"Los Angeles, California",,,,56000,,,,,,,,,,,,,,,,10:10 PM,"September 6, 2024"
401570601,MLB,nyy,chc,,,Wrigley Field,"Chicago, Illinois",,,,41363,,,,,,,,,,,,,,,,2:20 PM,"September 7, 2024"
401570605,MLB,tb,bal,,,Oriole Park at Camden Yards,"Baltimore, Maryland",,,,45971,,,,,,,,,,,,,,,,4:05 PM,"September 7, 2024"
401570599,MLB,det,oak,,,Oakland Coliseum,"Oakland, California",,,,46847,,,,,,,,,,,,,,,,4:07 PM,"September 7, 2024"
401570594,MLB,ari,hou,,,Minute Maid Park,"Houston, Texas",,,,41000,,,,,,,,,,,,,,,,4:10 PM,"September 7, 2024"
401570596,MLB,cin,nym,,,Citi Field,"Queens, New York",,,,42136,,,,,,,,,,,,,,,,4:10 PM,"September 7, 2024"
401570602,MLB,phi,mia,,,loanDepot park,"Miami, Florida",,,,37446,,,,,,,,,,,,,,,,4:10 PM,"September 7, 2024"
401570607,MLB,wsh,pit,,,PNC Park,"Pittsburgh, Pennsylvania",,,,38753,,,,,,,,,,,,,,,,6:40 PM,"September 7, 2024"
401570598,MLB,col,mil,,,American Family Field,"Milwaukee, Wisconsin",,,,41700,,,,,,,,,,,,,,,,7:10 PM,"September 7, 2024"
401570600,MLB,min,kc,,,Kauffman Stadium,"Kansas City, Missouri",,,,38427,,,,,,,,,,,,,,,,7:10 PM,"September 7, 2024"
401570593,MLB,laa,tex,,,Globe Life Field,"Arlington, Texas",,,,40000,,,,,,,,,,,,,,,,7:15 PM,"September 7, 2024"
401570595,MLB,chw,bos,,,Fenway Park,"Boston, Massachusetts",,,,37755,,,,,,,,,,,,,,,,7:15 PM,"September 7, 2024"
401570603,MLB,sea,stl,,,Busch Stadium,"St. Louis, Missouri",,,,44494,,,,,,,,,,,,,,,,7:15 PM,"September 7, 2024"
401570606,MLB,tor,atl,,,Truist Park,"Atlanta, Georgia",,,,41149,,,,,,,,,,,,,,,,7:20 PM,"September 7, 2024"
401570604,MLB,sf,sd,,,Petco Park,"San Diego, California",,,,40222,,,,,,,,,,,,,,,,8:40 PM,"September 7, 2024"
401570597,MLB,cle,lad,,,Dodger Stadium,"Los Angeles, California",,,,56000,,,,,,,,,,,,,,,,9:10 PM,"September 7, 2024"
401570610,MLB,chw,bos,,,Fenway Park,"Boston, Massachusetts",,,,37755,,,,,,,,,,,,,,,,1:35 PM,"September 8, 2024"
401570620,MLB,tb,bal,,,Oriole Park at Camden Yards,"Baltimore, Maryland",,,,45971,,,,,,,,,,,,,,,,1:35 PM,"September 8, 2024"
401570621,MLB,tor,atl,,,Truist Park,"Atlanta, Georgia",,,,41149,,,,,,,,,,,,,,,,1:35 PM,"September 8, 2024"
401570622,MLB,wsh,pit,,,PNC Park,"Pittsburgh, Pennsylvania",,,,38753,,,,,,,,,,,,,,,,1:35 PM,"September 8, 2024"
401570611,MLB,cin,nym,,,Citi Field,"Queens, New York",,,,42136,,,,,,,,,,,,,,,,1:40 PM,"September 8, 2024"
401570617,MLB,phi,mia,,,loanDepot park,"Miami, Florida",,,,37446,,,,,,,,,,,,,,,,1:40 PM,"September 8, 2024"
401570609,MLB,ari,hou,,,Minute Maid Park,"Houston, Texas",,,,41000,,,,,,,,,,,,,,,,2:10 PM,"September 8, 2024"
401570613,MLB,col,mil,,,American Family Field,"Milwaukee, Wisconsin",,,,41700,,,,,,,,,,,,,,,,2:10 PM,"September 8, 2024"
401570615,MLB,min,kc,,,Kauffman Stadium,"Kansas City, Missouri",,,,38427,,,,,,,,,,,,,,,,2:10 PM,"September 8, 2024"
401570618,MLB,sea,stl,,,Busch Stadium,"St. Louis, Missouri",,,,44494,,,,,,,,,,,,,,,,2:15 PM,"September 8, 2024"
401570616,MLB,nyy,chc,,,Wrigley Field,"Chicago, Illinois",,,,41363,,,,,,,,,,,,,,,,2:20 PM,"September 8, 2024"
401570608,MLB,laa,tex,,,Globe Life Field,"Arlington, Texas",,,,40000,,,,,,,,,,,,,,,,2:35 PM,"September 8, 2024"
401570614,MLB,det,oak,,,Oakland Coliseum,"Oakland, California",,,,46847,,,,,,,,,,,,,,,,4:07 PM,"September 8, 2024"
401570612,MLB,cle,lad,,,Dodger Stadium,"Los Angeles, California",,,,56000,,,,,,,,,,,,,,,,4:10 PM,"September 8, 2024"
401570619,MLB,sf,sd,,,Petco Park,"San Diego, California",,,,40222,,,,,,,,,,,,,,,,4:10 PM,"September 8, 2024"
401570628,MLB,mia,pit,,,PNC Park,"Pittsburgh, Pennsylvania",,,,38753,,,,,,,,,,,,,,,,6:40 PM,"September 9, 2024"
401570630,MLB,tb,phi,,,Citizens Bank Park,"Philadelphia, Pennsylvania",,,,42901,,,,,,,,,,,,,,,,6:40 PM,"September 9, 2024"
401570627,MLB,kc,nyy,,,Yankee Stadium,"Bronx, New York",,,,47309,,,,,,,,,,,,,,,,7:05 PM,"September 9, 2024"
401570629,MLB,nym,tor,,,Rogers Centre,"Toronto, Ontario",,,,49282,,,,,,,,,,,,,,,,7:07 PM,"September 9, 2024"
401570624,MLB,bal,bos,,,Fenway Park,"Boston, Massachusetts",,,,37755,,,,,,,,,,,,,,,,7:10 PM,"September 9, 2024"
401570623,MLB,laa,min,,,Target Field,"Minneapolis, Minnesota",,,,38544,,,,,,,,,,,,,,,,7:40 PM,"September 9, 2024"
401570626,MLB,cle,chw,,,Guaranteed Rate Field,"Chicago, Illinois",,,,40241,,,,,,,,,,,,,,,,7:40 PM,"September 9, 2024"
401570625,MLB,chc,lad,,,Dodger Stadium,"Los Angeles, California",,,,56000,,,,,,,,,,,,,,,,10:10 PM,"September 9, 2024"
401570637,MLB,col,det,,,Comerica Park,"Detroit, Michigan",,,,41083,,,,,,,,,,,,,,,,6:40 PM,"September 10, 2024"
401570639,MLB,mia,pit,,,PNC Park,"Pittsburgh, Pennsylvania",,,,38753,,,,,,,,,,,,,,,,6:40 PM,"September 10, 2024"
401570644,MLB,tb,phi,,,Citizens Bank Park,"Philadelphia, Pennsylvania",,,,42901,,,,,,,,,,,,,,,,6:40 PM,"September 10, 2024"
401570632,MLB,atl,wsh,,,Nationals Park,"Washington, District of Columbia",,,,41376,,,,,,,,,,,,,,,,6:45 PM,"September 10, 2024"
